Filename,ML Task Feature (Additive - label),ML Task Feature (Additive - concentration),ML Task Feature (Additive - pKa (COOH group)),ML Task Feature (Additive - pKb (NH2 group)),ML Task Feature (Additive - pI),ML Task Feature (Additive - pKc (other group)),ML Task Target (Calcite unit-cell length a),ML Task Target (Calcite unit-cell length c),ML Task Target (Calcite phase present),ML Task Target (Vaterite unit-cell length a),ML Task Target (Vaterite unit-cell length c),ML Task Target (Vaterite phase present),ML Task Target (Degree of Crystallinity),Excluded (True/False),Split (train/test/validation)
578589-mythen_summed.xye,Asp,0.4,1.95,9.66,2.77,3.71,4.99383,17.08232,TRUE,4.12873,8.47377,TRUE,55.17408,False,
578590-mythen_summed.xye,Asp,0.45,1.95,9.66,2.77,3.71,4.98871,17.10174,TRUE,4.12849,8.47577,TRUE,51.87674,False,
578591-mythen_summed.xye,Asp,0.5,1.95,9.66,2.77,3.71,4.99,17.08622,TRUE,4.12537,8.47537,TRUE,62.89344,False,
578757-mythen_summed.xye,Asp,0,1.95,9.66,2.77,3.71,4.9983,17.05304,TRUE,4.12744,8.47121,TRUE,58.57857,False,
578758-mythen_summed.xye,Asp,0.1,1.95,9.66,2.77,3.71,4.99616,17.07486,TRUE,4.12642,8.47535,TRUE,58.19057,False,
578759-mythen_summed.xye,Asp,0.2,1.95,9.66,2.77,3.71,4.99318,17.09098,TRUE,4.12517,8.47766,TRUE,58.5391,False,
578760-mythen_summed.xye,Asp,0.25,1.95,9.66,2.77,3.71,4.99046,17.07086,TRUE,4.12473,8.47869,TRUE,58.59413,False,
578761-mythen_summed.xye,Asp,0.3,1.95,9.66,2.77,3.71,4.99334,17.09141,TRUE,4.12372,8.47953,TRUE,56.77858,False,
578762-mythen_summed.xye,Asp,0.35,1.95,9.66,2.77,3.71,4.99231,17.08257,TRUE,4.12579,8.47826,TRUE,74.14229,False,
578764-mythen_summed.xye,Asp,0.45,1.95,9.66,2.77,3.71,4.99167,17.09845,TRUE,4.1243,8.47883,TRUE,52.86206,False,
578948-mythen_summed.xye,Asp,0,1.95,9.66,2.77,3.71,4.99695,17.05508,TRUE,4.12792,8.47092,TRUE,58.93608,False,
578949-mythen_summed.xye,Asp,0.1,1.95,9.66,2.77,3.71,4.99678,17.06655,TRUE,4.12763,8.47432,TRUE,57.54525,False,
578950-mythen_summed.xye,Asp,0.2,1.95,9.66,2.77,3.71,4.99619,17.07691,TRUE,4.12688,8.47493,TRUE,56.91656,False,
578951-mythen_summed.xye,Asp,0.25,1.95,9.66,2.77,3.71,4.99383,17.08746,TRUE,4.12608,8.47758,TRUE,58.60577,False,
578952-mythen_summed.xye,Asp,0.3,1.95,9.66,2.77,3.71,4.9933,17.08781,TRUE,4.12661,8.47744,TRUE,59.5124,False,
578953-mythen_summed.xye,Asp,0.35,1.95,9.66,2.77,3.71,4.99231,17.07975,TRUE,4.12477,8.47898,TRUE,59.34432,False,
578954-mythen_summed.xye,Asp,0.4,1.95,9.66,2.77,3.71,4.99185,17.08566,TRUE,4.12588,8.47856,TRUE,59.49581,False,
578955-mythen_summed.xye,Asp,0.45,1.95,9.66,2.77,3.71,4.99366,17.08959,TRUE,4.12611,8.47788,TRUE,58.77764,False,
578956-mythen_summed.xye,Asp,0.5,1.95,9.66,2.77,3.71,4.99066,17.08865,TRUE,4.12511,8.47879,TRUE,56.36376,False,
578549-mythen_summed.xye,Cys,0,1.91,10.28,5.07,8.14,4.99502,17.05836,TRUE,4.12747,8.47188,TRUE,60.46568,True,
578550-mythen_summed.xye,Cys,0.25,1.91,10.28,5.07,8.14,4.99463,17.06282,TRUE,4.12746,8.47068,TRUE,59.50788,True,
578551-mythen_summed.xye,Cys,0.5,1.91,10.28,5.07,8.14,4.99438,17.06972,TRUE,4.12761,8.47053,TRUE,57.47624,True,
578552-mythen_summed.xye,Cys,0.75,1.91,10.28,5.07,8.14,4.99511,17.07286,TRUE,4.1276,8.47224,TRUE,57.50094,True,
578553-mythen_summed.xye,Cys,1,1.91,10.28,5.07,8.14,4.99401,17.08125,TRUE,4.12725,8.47165,TRUE,57.37222,True,
578554-mythen_summed.xye,Cys,1.25,1.91,10.28,5.07,8.14,4.99374,17.08329,TRUE,4.12721,8.47136,TRUE,57.24167,True,
578555-mythen_summed.xye,Cys,1.5,1.91,10.28,5.07,8.14,4.99401,17.08724,TRUE,4.12724,8.47359,TRUE,57.47582,True,
578556-mythen_summed.xye,Cys,1.75,1.91,10.28,5.07,8.14,4.99348,17.0851,TRUE,4.12788,8.47322,TRUE,59.12113,True,
578557-mythen_summed.xye,Cys,2,1.91,10.28,5.07,8.14,4.99391,17.08323,TRUE,4.12651,8.47341,TRUE,55.91183,True,
578719-mythen_summed.xye,Cys,0,1.91,10.28,5.07,8.14,4.99622,17.0577,TRUE,4.12839,8.47115,TRUE,57.69188,True,
578720-mythen_summed.xye,Cys,0.25,1.91,10.28,5.07,8.14,4.99632,17.06467,TRUE,4.12796,8.47246,TRUE,55.36109,True,
578721-mythen_summed.xye,Cys,0.5,1.91,10.28,5.07,8.14,4.99556,17.07467,TRUE,4.12759,8.47366,TRUE,58.78391,True,
578722-mythen_summed.xye,Cys,1.75,1.91,10.28,5.07,8.14,4.99307,17.08442,TRUE,4.12784,8.47271,TRUE,58.78138,True,
578723-mythen_summed.xye,Cys,2,1.91,10.28,5.07,8.14,4.99318,17.08321,TRUE,4.12732,8.47306,TRUE,53.98592,True,
578903-mythen_summed.xye,Cys,0,1.91,10.28,5.07,8.14,4.99849,17.05515,TRUE,4.12756,8.47358,TRUE,58.1868,True,
578904-mythen_summed.xye,Cys,0.25,1.91,10.28,5.07,8.14,4.99629,17.06688,TRUE,4.12781,8.47354,TRUE,60.00528,True,
578905-mythen_summed.xye,Cys,0.5,1.91,10.28,5.07,8.14,4.99593,17.07706,TRUE,4.12958,8.47126,TRUE,69.2154,True,
578906-mythen_summed.xye,Cys,0.75,1.91,10.28,5.07,8.14,4.99483,17.07949,TRUE,4.12853,8.47139,TRUE,57.49293,True,
578907-mythen_summed.xye,Cys,1,1.91,10.28,5.07,8.14,4.99484,17.08523,TRUE,4.12918,8.47184,TRUE,63.2273,True,
578908-mythen_summed.xye,Cys,1.25,1.91,10.28,5.07,8.14,4.99442,17.0873,TRUE,4.12904,8.47242,TRUE,63.66228,True,
578909-mythen_summed.xye,Cys,1.5,1.91,10.28,5.07,8.14,4.99361,17.08569,TRUE,4.12803,8.47286,TRUE,57.46293,True,
579107-mythen_summed.xye,Cys,0,1.91,10.28,5.07,8.14,4.99636,17.05361,TRUE,,,FALSE,58.48784,True,
579108-mythen_summed.xye,Cys,0.25,1.91,10.28,5.07,8.14,4.99535,17.06287,TRUE,4.12641,8.47289,TRUE,57.76344,True,
579109-mythen_summed.xye,Cys,0.5,1.91,10.28,5.07,8.14,4.99664,17.05515,TRUE,,,FALSE,59.03545,True,
579110-mythen_summed.xye,Cys,0.75,1.91,10.28,5.07,8.14,4.99496,17.08164,TRUE,4.12893,8.46849,TRUE,59.02954,True,
579111-mythen_summed.xye,Cys,1,1.91,10.28,5.07,8.14,4.99543,17.08321,TRUE,,,FALSE,97.91851,True,
579112-mythen_summed.xye,Cys,1.25,1.91,10.28,5.07,8.14,4.99504,17.07026,TRUE,4.12676,8.47258,TRUE,58.94097,True,
579113-mythen_summed.xye,Cys,1.5,1.91,10.28,5.07,8.14,4.99438,17.08004,TRUE,4.12663,8.47323,TRUE,57.41859,True,
579114-mythen_summed.xye,Cys,1.75,1.91,10.28,5.07,8.14,4.9931,17.08781,TRUE,4.12682,8.47341,TRUE,57.19932,True,
579115-mythen_summed.xye,Cys,2,1.91,10.28,5.07,8.14,4.99325,17.08858,TRUE,4.12693,8.47625,TRUE,55.35111,True,
578422-mythen_summed.xye,Glu,0,2.16,9.58,3.22,4.15,4.9964,17.05789,TRUE,4.1279,8.47377,TRUE,59.39268,False,
578423-mythen_summed.xye,Glu,0.1,2.16,9.58,3.22,4.15,4.99426,17.06425,TRUE,4.12586,8.47637,TRUE,57.23955,False,
578424-mythen_summed.xye,Glu,0.2,2.16,9.58,3.22,4.15,4.99351,17.0834,TRUE,4.12708,8.47409,TRUE,57.43384,False,
578425-mythen_summed.xye,Glu,0.25,2.16,9.58,3.22,4.15,4.99362,17.06476,TRUE,4.12348,8.48057,TRUE,60.40657,False,
