Filename,FileURL,Maximum Intensity,Weighted pattern R-factor (R_wp),Goodness of Fit,Calcite phase present,Calcite unit-cell length a,Calcite unit-cell length b,Calcite unit-cell length c,Calcite unit-cell angle alpha,Calcite unit-cell angle beta,Calcite unit-cell angle gamma,Calcite weight percentage,Vaterite phase present,Vaterite unit-cell length a,Vaterite unit-cell length b,Vaterite unit-cell length c,Vaterite unit-cell angle alpha,Vaterite unit-cell angle beta,Vaterite unit-cell angle gamma,Vaterite weight percentage,Additive - label,Additive - concentration,Additive - ChEBI URL,Additive - ChEBI molecule class URLs,Additive - ChEBI molecule class names,Additive - name,Additive - IUPAC name,Additive - formula,Additive - mass,Additive - canonical SMILES,Additive - standard InChI,Additive - standard InChIKey,Additive – pKa (COOH group),Additive – pKb (NH2 group),Additive – pKc (other group),Additive – pI
578686-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/5ndsv-qx229/files/578686-mythen_summed.xye/content,1994169.49,6.31884,7.81259,TRUE,4.99503,4.99503,17.06007,90,90,120,94.57775,TRUE,4.12477,4.12477,8.47067,90,90,120,5.42225,Leu,0.25,https://www.ebi.ac.uk/chebi/CHEBI:15603,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:25017]","[L-Î±-amino acid, proteinogenic amino acid, pyruvate family amino acid, leucine]",,L-leucine,C6H13NO2,131.175,CC(C)C[C@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",ROHFNLRQFUQHCH-YFKPBYRVSA-N,2.32,9.58,,5.98
578687-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/13z9q-3rz60/files/578687-mythen_summed.xye/content,1217672.6218090001,6.30935,7.16248,TRUE,4.99466,4.99466,17.07945,90,90,120,97.10776,TRUE,4.12626,4.12626,8.47751,90,90,120,2.89224,Leu,0.5,https://www.ebi.ac.uk/chebi/CHEBI:15603,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:25017]","[L-Î±-amino acid, proteinogenic amino acid, pyruvate family amino acid, leucine]",,L-leucine,C6H13NO2,131.175,CC(C)C[C@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",ROHFNLRQFUQHCH-YFKPBYRVSA-N,2.32,9.58,,5.98
578688-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/hmshb-s2c77/files/578688-mythen_summed.xye/content,1505618.45,6.05659,7.11407,TRUE,4.99557,4.99557,17.06371,90,90,120,100,FALSE,,,,90,90,120,0,Leu,0.75,https://www.ebi.ac.uk/chebi/CHEBI:15603,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:25017]","[L-Î±-amino acid, proteinogenic amino acid, pyruvate family amino acid, leucine]",,L-leucine,C6H13NO2,131.175,CC(C)C[C@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",ROHFNLRQFUQHCH-YFKPBYRVSA-N,2.32,9.58,,5.98
578689-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/80wv7-eta90/files/578689-mythen_summed.xye/content,1808054.8586880001,5.53968,6.71665,TRUE,4.99461,4.99461,17.07368,90,90,120,100,FALSE,,,,90,90,120,0,Leu,1,https://www.ebi.ac.uk/chebi/CHEBI:15603,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:25017]","[L-Î±-amino acid, proteinogenic amino acid, pyruvate family amino acid, leucine]",,L-leucine,C6H13NO2,131.175,CC(C)C[C@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",ROHFNLRQFUQHCH-YFKPBYRVSA-N,2.32,9.58,,5.98
578690-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/f38kg-3me67/files/578690-mythen_summed.xye/content,1897746.64,5.72977,7.06884,TRUE,4.99429,4.99429,17.0726,90,90,120,95.38452,TRUE,4.12539,4.12539,8.47314,90,90,120,4.61548,Leu,1.25,https://www.ebi.ac.uk/chebi/CHEBI:15603,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:25017]","[L-Î±-amino acid, proteinogenic amino acid, pyruvate family amino acid, leucine]",,L-leucine,C6H13NO2,131.175,CC(C)C[C@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",ROHFNLRQFUQHCH-YFKPBYRVSA-N,2.32,9.58,,5.98
578853-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/swghc-mxz38/files/578853-mythen_summed.xye/content,2313916.59,7.15125,8.74648,TRUE,4.99646,4.99646,17.0561,90,90,120,94.23675,TRUE,4.12727,4.12727,8.47242,90,90,120,5.76325,Leu,0,,,,,,,,,,,2.32,9.58,,5.98
578854-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/80s06-wch44/files/578854-mythen_summed.xye/content,2474761.16,7.43532,9.10857,TRUE,4.99556,4.99556,17.05734,90,90,120,100,FALSE,,,,90,90,120,0,Leu,0.1,https://www.ebi.ac.uk/chebi/CHEBI:15603,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:25017]","[L-Î±-amino acid, proteinogenic amino acid, pyruvate family amino acid, leucine]",,L-leucine,C6H13NO2,131.175,CC(C)C[C@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",ROHFNLRQFUQHCH-YFKPBYRVSA-N,2.32,9.58,,5.98
578855-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/133pv-yef97/files/578855-mythen_summed.xye/content,230840.31,2.1453,2.2203,TRUE,4.99625,4.99625,17.0575,90,90,120,100,FALSE,,,,90,90,120,0,Leu,0.25,https://www.ebi.ac.uk/chebi/CHEBI:15603,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:25017]","[L-Î±-amino acid, proteinogenic amino acid, pyruvate family amino acid, leucine]",,L-leucine,C6H13NO2,131.175,CC(C)C[C@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",ROHFNLRQFUQHCH-YFKPBYRVSA-N,2.32,9.58,,5.98
578857-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/xvxdf-sny57/files/578857-mythen_summed.xye/content,479187.09,4.69174,5.36785,TRUE,4.99669,4.99669,17.06299,90,90,120,38.31088,TRUE,4.12805,4.12805,8.47359,90,90,120,61.68912,Leu,0.75,https://www.ebi.ac.uk/chebi/CHEBI:15603,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:25017]","[L-Î±-amino acid, proteinogenic amino acid, pyruvate family amino acid, leucine]",,L-leucine,C6H13NO2,131.175,CC(C)C[C@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",ROHFNLRQFUQHCH-YFKPBYRVSA-N,2.32,9.58,,5.98
578858-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/qgv0z-0ce12/files/578858-mythen_summed.xye/content,1237927.3941249999,5.6395,6.89881,TRUE,4.99616,4.99616,17.05942,90,90,120,59.40395,TRUE,4.12752,4.12752,8.47144,90,90,120,40.59605,Leu,1,https://www.ebi.ac.uk/chebi/CHEBI:15603,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:25017]","[L-Î±-amino acid, proteinogenic amino acid, pyruvate family amino acid, leucine]",,L-leucine,C6H13NO2,131.175,CC(C)C[C@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",ROHFNLRQFUQHCH-YFKPBYRVSA-N,2.32,9.58,,5.98
