Filename,FileURL,Maximum Intensity,Weighted pattern R-factor (R_wp),Goodness of Fit,Calcite phase present,Calcite unit-cell length a,Calcite unit-cell length b,Calcite unit-cell length c,Calcite unit-cell angle alpha,Calcite unit-cell angle beta,Calcite unit-cell angle gamma,Calcite weight percentage,Vaterite phase present,Vaterite unit-cell length a,Vaterite unit-cell length b,Vaterite unit-cell length c,Vaterite unit-cell angle alpha,Vaterite unit-cell angle beta,Vaterite unit-cell angle gamma,Vaterite weight percentage,Additive - label,Additive - concentration,Additive - ChEBI URL,Additive - ChEBI molecule class URLs,Additive - ChEBI molecule class names,Additive - name,Additive - IUPAC name,Additive - formula,Additive - mass,Additive - canonical SMILES,Additive - standard InChI,Additive - standard InChIKey,Additive – pKa (COOH group),Additive – pKb (NH2 group),Additive – pKc (other group),Additive – pI
578430-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/rwddt-wm282/files/578430-mythen_summed.xye/content,1808631.09,5.15348,6.43072,TRUE,4.9916,4.9916,17.11626,90,90,120,96.01162,TRUE,4.12663,4.12663,8.47498,90,90,120,3.98838,Glu,0.5,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578593-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/mabc2-k9s74/files/578593-mythen_summed.xye/content,311223.03,4.8041,5.63827,TRUE,4.99569,4.99569,17.0598,90,90,120,22.75058,TRUE,4.12741,4.12741,8.47205,90,90,120,77.24942,Glu,0,,,,,,,,,,,2.16,9.58,4.15,3.22
578594-mythen_summed.xye,,1223798.71,6.00539,7.26833,TRUE,4.99114,4.99114,17.07036,90,90,120,61.77007,TRUE,4.12696,4.12696,8.47348,90,90,120,38.22993,Glu,0.1,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578595-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/d2eh1-d3483/files/578595-mythen_summed.xye/content,117325.4,5.71567,6.68587,TRUE,4.99192,4.99192,17.08664,90,90,120,3.75212,TRUE,4.12705,4.12705,8.47447,90,90,120,96.24788,Glu,0.2,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578596-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/3qmgc-jsj14/files/578596-mythen_summed.xye/content,426269.15,4.82095,5.28528,TRUE,4.99385,4.99385,17.09097,90,90,120,64.51622,TRUE,4.12776,4.12776,8.47588,90,90,120,35.48378,Glu,0.25,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578597-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/sd0r9-m9s70/files/578597-mythen_summed.xye/content,740600.53,5.47151,6.67759,TRUE,4.99325,4.99325,17.08272,90,90,120,42.29021,TRUE,4.12545,4.12545,8.47574,90,90,120,57.70979,Glu,0.3,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578598-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/8g2j0-a3826/files/578598-mythen_summed.xye/content,259161.88,5.71016,6.74723,TRUE,4.99244,4.99244,17.09243,90,90,120,21.07178,TRUE,4.12477,4.12477,8.47832,90,90,120,78.92822,Glu,0.35,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578599-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/xxz69-rkh66/files/578599-mythen_summed.xye/content,544822.47,6.01096,7.33406,TRUE,4.99179,4.99179,17.09785,90,90,120,31.57765,TRUE,4.12652,4.12652,8.47494,90,90,120,68.42235,Glu,0.4,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578600-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/tbtgd-5vv58/files/578600-mythen_summed.xye/content,1219874.77,4.93638,6.03818,TRUE,4.99145,4.99145,17.09605,90,90,120,78.53536,TRUE,4.12639,4.12639,8.4745,90,90,120,21.46464,Glu,0.45,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578601-mythen_summed.xye,,455297.08666200005,4.97539,5.81869,TRUE,4.99171,4.99171,17.10183,90,90,120,36.46412,TRUE,4.12648,4.12648,8.47594,90,90,120,63.53588,Glu,0.5,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578767-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/f0yh1-hzy36/files/578767-mythen_summed.xye/content,620527.58,5.65227,6.85639,TRUE,4.99774,4.99774,17.05573,90,90,120,30.933,TRUE,4.1278,4.1278,8.47208,90,90,120,69.067,Glu,0,,,,,,,,,,,2.16,9.58,4.15,3.22
578768-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/6718n-4bv75/files/578768-mythen_summed.xye/content,1545114.23,6.63849,8.23713,TRUE,4.99432,4.99432,17.07524,90,90,120,63.67452,TRUE,4.12769,4.12769,8.47294,90,90,120,36.32548,Glu,0.1,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578769-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/amrk7-0ba64/files/578769-mythen_summed.xye/content,964059.4925449999,5.93838,7.37381,TRUE,4.99384,4.99384,17.08824,90,90,120,41.28267,TRUE,4.12687,4.12687,8.4744,90,90,120,58.71733,Glu,0.2,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578770-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/7zsnb-5ph85/files/578770-mythen_summed.xye/content,1123700.93,6.43201,7.5291,TRUE,4.99407,4.99407,17.09526,90,90,120,75.70279,TRUE,4.12745,4.12745,8.47551,90,90,120,24.29721,Glu,0.25,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578771-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/mzha8-xjg08/files/578771-mythen_summed.xye/content,1970505.24,6.4373,7.91823,TRUE,4.99336,4.99336,17.09804,90,90,120,89.48547,TRUE,4.12702,4.12702,8.474,90,90,120,10.51453,Glu,0.3,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578772-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/5fpgj-q1g89/files/578772-mythen_summed.xye/content,128669.67,2.51265,2.67616,TRUE,4.9936,4.9936,17.0997,90,90,120,27.11497,TRUE,4.12626,4.12626,8.47535,90,90,120,72.88503,Glu,0.35,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578773-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/v04ds-mzj30/files/578773-mythen_summed.xye/content,191140.04,2.05145,2.14081,TRUE,4.99255,4.99255,17.10218,90,90,120,64.49021,TRUE,4.12558,4.12558,8.47532,90,90,120,35.50979,Glu,0.4,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578774-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/jwpq8-8dj31/files/578774-mythen_summed.xye/content,201452.61,2.54397,2.72186,TRUE,4.99229,4.99229,17.08359,90,90,120,39.06162,TRUE,4.126,4.126,8.47434,90,90,120,60.93838,Glu,0.45,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578775-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/8mcx1-rpr62/files/578775-mythen_summed.xye/content,71237.81100500001,2.75737,2.87609,TRUE,4.99271,4.99271,17.09546,90,90,120,22.8921,TRUE,4.12563,4.12563,8.47648,90,90,120,77.1079,Glu,0.5,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578958-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/j25xn-a8882/files/578958-mythen_summed.xye/content,720305.38,3.86492,4.3803,TRUE,4.99929,4.99929,17.05095,90,90,120,67.98029,TRUE,4.12701,4.12701,8.47329,90,90,120,32.01971,Glu,0,,,,,,,,,,,2.16,9.58,4.15,3.22
578959-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/eth7m-21271/files/578959-mythen_summed.xye/content,247089.07335800002,5.63976,6.74852,TRUE,4.99651,4.99651,17.06271,90,90,120,14.6176,TRUE,4.12771,4.12771,8.47207,90,90,120,85.3824,Glu,0.1,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578960-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/yd1sd-qx048/files/578960-mythen_summed.xye/content,414670.19,5.25526,6.3003,TRUE,4.99454,4.99454,17.07689,90,90,120,25.79051,TRUE,4.12732,4.12732,8.47219,90,90,120,74.20949,Glu,0.2,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578961-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/zmw53-5pt67/files/578961-mythen_summed.xye/content,236400.18,5.66445,6.82613,TRUE,4.99368,4.99368,17.08923,90,90,120,11.91381,TRUE,4.1264,4.1264,8.47433,90,90,120,88.08619,Glu,0.25,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578962-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/e6nrw-m5v87/files/578962-mythen_summed.xye/content,502767.64,6.26299,7.73703,TRUE,4.99341,4.99341,17.09047,90,90,120,24.92181,TRUE,4.12557,4.12557,8.47495,90,90,120,75.07819,Glu,0.3,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578963-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/f8zc8-w0323/files/578963-mythen_summed.xye/content,430803.63,6.91916,8.66662,TRUE,4.99278,4.99278,17.09274,90,90,120,19.46103,TRUE,4.12619,4.12619,8.47446,90,90,120,80.53897,Glu,0.35,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
578964-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/92f0e-m9334/files/578964-mythen_summed.xye/content,274230.52,6.48249,7.92972,TRUE,4.99329,4.99329,17.08175,90,90,120,15.66443,TRUE,4.12798,4.12798,8.47117,90,90,120,84.33557,Glu,0.4,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
579131-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/x5dpe-gcr92/files/579131-mythen_summed.xye/content,635747.3041899999,4.45319,5.16858,TRUE,4.99666,4.99666,17.05588,90,90,120,42.11359,TRUE,4.12872,4.12872,8.46956,90,90,120,57.88641,Glu,0,,,,,,,,,,,2.16,9.58,4.15,3.22
579132-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/mbqb1-s2r05/files/579132-mythen_summed.xye/content,1861012.8159440001,6.58593,8.15609,TRUE,4.99601,4.99601,17.05674,90,90,120,76.0108,TRUE,4.12846,4.12846,8.46956,90,90,120,23.9892,Glu,0.1,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
579133-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/g6cx5-znf44/files/579133-mythen_summed.xye/content,432146.82,4.50128,5.11007,TRUE,4.99794,4.99794,17.05724,90,90,120,38.72039,TRUE,4.12915,4.12915,8.47007,90,90,120,61.27961,Glu,0.2,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
579134-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/wrw7x-xhq63/files/579134-mythen_summed.xye/content,874094.93,7.38835,8.48818,TRUE,4.99272,4.99272,17.06597,90,90,120,57.53702,TRUE,4.12939,4.12939,8.46653,90,90,120,42.46298,Glu,0.25,https://www.ebi.ac.uk/chebi/CHEBI:16015,"[https://www.ebi.ac.uk/chebi/CHEBI:15705, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:24318, https://www.ebi.ac.uk/chebi/CHEBI:18237]","[L-Î±-amino acid, proteinogenic amino acid, glutamine family amino acid, glutamic acid]",,L-glutamic acid,C5H9NO4,147.13,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,2.16,9.58,4.15,3.22
