Filename,r_wp,gof,bkg_scale,degree_of_crystallinity,Calcite_a,Calcite_a_err,Calcite_b,Calcite_b_err,Calcite_c,Calcite_c_err,Calcite_al,Calcite_be,Calcite_ga,Calcite_Strain_G,Calcite_Strain_L,Calcite_scale,Calcite_wp,Calcite_cabeq,Calcite_cbeq,Calcite_obeq,Vaterite_a,Vaterite_a_err,Vaterite_b,Vaterite_b_err,Vaterite_c,Vaterite_c_err,Vaterite_al,Vaterite_be,Vaterite_ga,Vaterite_strain_g,Vaterite_strain_l,Vaterite_scale,Vaterite_wp,Vaterite_cabeq,Vaterite_cbeq,Vaterite_obeq,Additive,Additive:Ca ions,Calcite Phase Out,Vaterite Phase Out,Amorphous,ycalc,yobs,Model to Use,degree_of_crystallinity_zscore_Additive,degree_of_crystallinity_zscore_vs_Control,degree_of_crystallinity_zscore_vs_AllAdditives,Calcite_a_zscore_Additive,Calcite_a_zscore_vs_Control,Calcite_a_zscore_vs_AllAdditives,Calcite_c_zscore_Additive,Calcite_c_zscore_vs_Control,Calcite_c_zscore_vs_AllAdditives,Vaterite_a_zscore_Additive,Vaterite_a_zscore_vs_Control,Vaterite_a_zscore_vs_AllAdditives,Vaterite_c_zscore_Additive,Vaterite_c_zscore_vs_Control,Vaterite_c_zscore_vs_AllAdditives,Calcite_wp_zscore_Additive,Calcite_wp_zscore_vs_Control,Calcite_wp_zscore_vs_AllAdditives,Vaterite_wp_zscore_Additive,Vaterite_wp_zscore_vs_Control,Vaterite_wp_zscore_vs_AllAdditives
579106-mythen_summed.xye,6.30917,7.66806,0.8611,55.94773,4.99685,3e-05,4.99685,3e-05,17.06368,0.00013,90.0,90.0,120.0,0.13957,0.04814,0.00255,20.68612,1.23728,0.76034,1.11814,4.12744,6e-05,4.12744,6e-05,8.47319,0.00026,90.0,90.0,120.0,0.64495,0.88907,0.08709,79.31388,0.92731,0.0,0.98692,Pro,1.5,579106-mythen_summed_a_phase_out.txt,579106-mythen_summed_b_phase_out.txt,579106-mythen_summed_amor_phase_out.txt,579106-mythen_summed_ycalc.txt,579106-mythen_summed_yobs.txt,Both,-0.8109358735511506,-1.2125462098170923,-0.544437303565036,0.14858132147819908,0.36826328718352147,0.885887816335357,0.5408896572088763,1.3488209626530736,-0.5156013096837416,-0.7394727093962508,-0.08208506458282694,-0.09184221462145044,0.38525283529475407,0.542996481598958,0.178824137904928,-1.0026148538376225,-2.1365891809285236,-1.1770848842032224,1.0026148538376225,2.136589180928524,1.177084884203222
578452-mythen_summed.xye,5.42529,5.82194,0.97732,58.47517,4.99621,1e-05,4.99621,1e-05,17.05558,7e-05,90.0,90.0,120.0,0.13357,0.01703,0.00367,100.0,2.23412,0.78654,2.4813,,0.00102,,0.00102,,0.00406,90.0,90.0,120.0,0.00011,0.94927,0.00159,0.0,0.63951,1.99988,0.00378,Ser,0.0,578452-mythen_summed_a_phase_out.txt,,578452-mythen_summed_amor_phase_out.txt,578452-mythen_summed_ycalc.txt,578452-mythen_summed_yobs.txt,Calcite,0.10567432728042567,-0.5028106306951632,-0.10125149067747623,0.2911352470766488,0.030910949180393835,0.5655404725883179,-0.9341997821120859,-0.4759922870920636,-1.222149972762392,,,,,,,3.735385258387894,0.9397959801639248,1.3809271936971441,-3.735385258387894,-0.9397959801639244,-1.3809271936971441
578453-mythen_summed.xye,3.7289,4.16947,0.95927,57.10115,4.99505,1e-05,4.99505,1e-05,17.07204,6e-05,90.0,90.0,120.0,0.13693,0.0417,0.00305,53.48529,1.17608,1.19288,1.33616,4.1287,5e-05,4.1287,5e-05,8.4716,0.00022,90.0,90.0,120.0,0.3352,0.63618,0.02365,46.51471,1.14035,1e-05,1.05976,Ser,0.25,578453-mythen_summed_a_phase_out.txt,578453-mythen_summed_b_phase_out.txt,578453-mythen_summed_amor_phase_out.txt,578453-mythen_summed_ycalc.txt,578453-mythen_summed_yobs.txt,Both,-0.24053496665811624,-0.8886519881260476,-0.3421854675963213,-0.021995107952124494,-0.5805401634494557,-0.015089087952412686,0.259901478109316,3.2322084648585316,0.21362669319718755,0.5544082800756829,0.9938352785757609,0.9591936205486242,-0.1872208791268325,-0.09729769490770067,-0.29575393833598906,1.5355995880500042,-0.8643921848397105,-0.1192539849317789,-1.5355995880500042,0.8643921848397109,0.11925398493177866
578454-mythen_summed.xye,3.8245,4.0525,0.98099,68.92006,4.99698,1e-05,4.99698,1e-05,17.07536,7e-05,90.0,90.0,120.0,0.18681,0.04505,0.00303,95.08189,1.57653,0.76456,1.54546,4.1272,0.00078,4.1272,0.00078,8.47664,0.0031,90.0,90.0,120.0,0.67203,0.67531,0.0014,4.91811,0.00012,0.90584,0.0,Ser,0.5,578454-mythen_summed_a_phase_out.txt,578454-mythen_summed_b_phase_out.txt,578454-mythen_summed_amor_phase_out.txt,578454-mythen_summed_ycalc.txt,578454-mythen_summed_yobs.txt,Both,2.7374540627760777,2.4302402243260657,1.7302567014739296,0.49898901722517225,0.43678798084008486,0.9509583705336687,0.5007530081173923,3.980156611667122,0.5032244168292201,-1.1440437125900584,-0.2870222728032937,-0.29203951655839583,2.3228300796593375,1.9323140343958716,1.2085690203140549,3.502796730949037,0.7490349100382372,1.2223094992854904,-3.502796730949037,-0.7490349100382366,-1.2223094992854906
578455-mythen_summed.xye,6.27553,7.62824,0.90428,55.81319,4.99512,5e-05,4.99512,5e-05,17.07825,0.00021,90.0,90.0,120.0,0.11163,0.0822,0.00149,13.33901,1.46255,0.52348,1.18985,4.12812,6e-05,4.12812,6e-05,8.47145,0.00026,90.0,90.0,120.0,0.62171,0.92668,0.08597,86.66099,0.77885,2e-05,0.85037,Ser,0.75,578455-mythen_summed_a_phase_out.txt,578455-mythen_summed_b_phase_out.txt,578455-mythen_summed_amor_phase_out.txt,578455-mythen_summed_ycalc.txt,578455-mythen_summed_yobs.txt,Both,-0.5650598805757326,-1.2503266615053876,-0.5680288504527534,-0.0030993106658950853,-0.5436422514803928,0.01994890276989194,0.710409912251066,4.631231956329243,0.7553140015572691,-0.10232649042199188,0.49857035870900107,0.4753834742003888,-0.26192477670959097,-0.1577028058987464,-0.3405254549623807,-0.36300864709480507,-2.421565028547048,-1.4140420992286702,0.36300864709480496,2.421565028547049,1.4140420992286697
578456-mythen_summed.xye,6.54644,7.97898,0.91378,56.30692,4.994,0.00028,4.994,0.00028,17.07085,0.00113,90.0,90.0,120.0,0.0001,0.1673,0.0003,2.86173,2.38318,6e-05,0.43092,4.12726,7e-05,4.12726,7e-05,8.47344,0.00028,90.0,90.0,120.0,0.57852,1.04148,0.09109,97.13827,0.5881,0.0,0.59199,Ser,1.0,578456-mythen_summed_a_phase_out.txt,578456-mythen_summed_b_phase_out.txt,578456-mythen_summed_amor_phase_out.txt,578456-mythen_summed_ycalc.txt,578456-mythen_summed_yobs.txt,Both,-0.44065563995603585,-1.111681333632176,-0.48145344949487723,-0.30543206724556565,-1.134008842985398,-0.5406589487869821,0.17357216464244857,2.964118617056293,0.10982509948556504,-1.076105632883992,-0.23578797074855617,-0.24199019107452993,0.7291469312236178,0.6436716665840343,0.25344333228224725,-0.8585028769441959,-2.827952267711375,-1.7519528001494165,0.8585028769441962,2.8279522677113755,1.7519528001494162
578457-mythen_summed.xye,4.19263,4.78979,0.95043,57.14227,4.99433,2e-05,4.99433,2e-05,17.07561,0.0001,90.0,90.0,120.0,0.12453,0.07027,0.00213,32.12341,1.25847,0.86553,1.2541,4.12792,6e-05,4.12792,6e-05,8.47149,0.00026,90.0,90.0,120.0,0.57907,0.87338,0.04012,67.87659,0.68027,0.0,0.70485,Ser,1.25,578457-mythen_summed_a_phase_out.txt,578457-mythen_summed_b_phase_out.txt,578457-mythen_summed_amor_phase_out.txt,578457-mythen_summed_ycalc.txt,578457-mythen_summed_yobs.txt,Both,-0.23017403583705465,-0.8771049970942137,-0.3349750884672661,-0.2163518800390898,-0.9600615437027401,-0.37547984966760944,0.5188894185096606,4.036478008264446,0.5250314743317451,-0.3287867561112267,0.3277893518581065,0.30855238925244033,-0.24200373735489647,-0.14159477630170647,-0.3285863838624337,0.525348045785685,-1.6929655776057377,-0.808212172914239,-0.5253480457856853,1.692965577605738,0.8082121729142384
578458-mythen_summed.xye,2.32425,2.40461,0.99967,72.43947,4.99427,2e-05,4.99427,2e-05,17.07785,0.0001,90.0,90.0,120.0,0.12383,0.06572,0.00085,62.8049,2.24378,1.23696,2.33915,4.1285,0.00018,4.1285,0.00018,8.47217,0.00072,90.0,90.0,120.0,0.46586,0.90032,0.00451,37.1951,0.51637,1.99998,0.38421,Ser,1.5,578458-mythen_summed_a_phase_out.txt,578458-mythen_summed_b_phase_out.txt,578458-mythen_summed_amor_phase_out.txt,578458-mythen_summed_ycalc.txt,578458-mythen_summed_yobs.txt,Both,3.6242333317679702,3.4185329214890072,2.3473841433655687,-0.23254827771286374,-0.9916883253902408,-0.4055124131436165,0.6813916556236428,4.541117721774165,0.720422709553477,0.327948014386448,0.8230542717248664,0.7923625356006758,0.09665393168818055,0.1322417268587024,-0.12562217515538301,1.9763449894754395,-0.5029080422007574,0.18131982309931283,-1.9763449894754395,0.5029080422007578,-0.18131982309931305
578459-mythen_summed.xye,5.45074,6.19732,0.92104,58.71837,4.99307,7e-05,4.99307,7e-05,17.07698,0.00031,90.0,90.0,120.0,0.14007,0.19402,0.00127,16.74724,1.16502,0.12649,0.75265,4.12933,6e-05,4.12933,6e-05,8.47043,0.00024,90.0,90.0,120.0,0.59586,0.79054,0.05619,83.25276,0.83769,0.0002,0.9516,Ser,1.75,578459-mythen_summed_a_phase_out.txt,578459-mythen_summed_b_phase_out.txt,578459-mythen_summed_amor_phase_out.txt,578459-mythen_summed_ycalc.txt,578459-mythen_summed_yobs.txt,Both,0.16695298427657845,-0.4345171428804359,-0.05860644680135838,-0.5564762311909794,-1.6242239591454029,-1.0061636826686482,0.6182769474586624,4.345119261615829,0.6445341494448262,1.2677581169954149,1.531795450155055,1.4847115381336615,-0.7699112802737642,-0.568457560639002,-0.6449717680226916,-0.2018257543020582,-2.2893683916205716,-1.304120689454462,0.20182575430205804,2.289368391620572,1.3041206894544617
578460-mythen_summed.xye,1.56229,1.62497,1.00459,60.06001,4.99256,0.00015,4.99256,0.00015,17.07366,0.00062,90.0,90.0,120.0,0.14219,0.28296,0.00016,16.18178,1.24194,0.01193,0.4756,4.12921,7e-05,4.12921,7e-05,8.46914,0.0003,90.0,90.0,120.0,0.61482,0.77709,0.00744,83.81822,0.62774,0.92025,0.4295,Ser,2.0,578460-mythen_summed_a_phase_out.txt,578460-mythen_summed_b_phase_out.txt,578460-mythen_summed_amor_phase_out.txt,578460-mythen_summed_ycalc.txt,578460-mythen_summed_yobs.txt,Both,0.5050035491298588,-0.057768479263042787,0.17664970725272996,-0.6941456114192566,-1.8930516034914988,-1.261440472216931,0.37742541745058605,3.5971711148072387,0.3549364258127936,1.1318819575812704,1.4293268460440631,1.3846128871644479,-1.4123647994874335,-1.0879415151635692,-1.0300068110108256,-0.22856763456207202,-2.311301157401181,-1.3223577686336618,0.22856763456207185,2.3113011574011812,1.3223577686336614
578631-mythen_summed.xye,7.39454,8.87235,0.91963,60.7544,4.99334,2e-05,4.99334,2e-05,17.06275,0.00011,90.0,90.0,120.0,0.11008,0.20866,0.00901,93.95391,0.77471,0.87992,0.83437,4.12545,0.00062,4.12545,0.00062,8.47715,0.0026,90.0,90.0,120.0,0.05405,1.06786,0.00516,6.04609,0.30489,8e-05,5e-05,Ser,0.0,578631-mythen_summed_a_phase_out.txt,578631-mythen_summed_b_phase_out.txt,578631-mythen_summed_amor_phase_out.txt,578631-mythen_summed_ycalc.txt,578631-mythen_summed_yobs.txt,Both,0.679967721134621,0.1372245922980924,0.29841077640214286,-0.4835924416585173,-1.4819034415507137,-0.8710171470257272,-0.4140475320641594,1.1393053673119564,-0.5967235635927752,-3.1255710373670915,-1.7813560827457768,-1.751811509850166,2.576823331441424,2.1376914117659993,1.3607921768442104,3.449452009667796,0.7052834136543875,1.1859301610961335,-3.449452009667796,-0.7052834136543874,-1.1859301610961337
578632-mythen_summed.xye,6.60288,8.16673,0.90238,56.34243,4.99481,9e-05,4.99481,9e-05,17.06308,0.0004,90.0,90.0,120.0,0.0001,0.15025,0.00093,7.8025,1.58654,0.0,0.81745,4.12683,7e-05,4.12683,7e-05,8.47326,0.00029,90.0,90.0,120.0,0.60714,1.05707,0.09741,92.1975,0.64306,0.0,0.64808,Ser,0.25,578632-mythen_summed_a_phase_out.txt,578632-mythen_summed_b_phase_out.txt,578632-mythen_summed_amor_phase_out.txt,578632-mythen_summed_ycalc.txt,578632-mythen_summed_yobs.txt,Both,-0.43170825052374345,-1.101709698137517,-0.4752267821098401,-0.08678069864769969,-0.7070472902003945,-0.1352193418573301,-0.39010747034661264,1.213649610819656,-0.5679382476897398,-1.562995204114489,-0.6029671354769556,-0.6006770237116188,0.6395022541239538,0.5711855333944932,0.1997175123303653,-0.6248427069370018,-2.6363122733954905,-1.5926042808974545,0.6248427069370021,2.636312273395491,1.5926042808974543
578634-mythen_summed.xye,6.88694,8.4716,0.90626,57.81033,4.99335,0.00012,4.99335,0.00012,17.06373,0.00054,90.0,90.0,120.0,0.0001,0.25667,0.00115,10.37695,1.54183,0.0,0.73076,4.12678,7e-05,4.12678,7e-05,8.47398,0.00031,90.0,90.0,120.0,0.37532,1.15274,0.08869,89.62305,0.43333,0.0,0.39896,Ser,0.75,578634-mythen_summed_a_phase_out.txt,578634-mythen_summed_b_phase_out.txt,578634-mythen_summed_amor_phase_out.txt,578634-mythen_summed_ycalc.txt,578634-mythen_summed_yobs.txt,Both,-0.061844185537509505,-0.6895057065123625,-0.21783097657631637,-0.4808930420460618,-1.4766323112691515,-0.8660117197794296,-0.3429528033269211,1.3600852419720582,-0.5112398981834225,-1.6196102705365463,-0.6456623871894897,-0.6423847949484207,0.9980809625217254,0.861130066151942,0.4146207921373629,-0.5030911530951875,-2.5364558576209193,-1.5095737420567044,0.5030911530951878,2.5364558576209197,1.5095737420567041
578635-mythen_summed.xye,6.30909,7.77969,0.8598,54.6551,4.99514,3e-05,4.99514,3e-05,17.06029,0.00013,90.0,90.0,120.0,0.11137,0.04596,0.00233,17.63949,1.06517,0.781,1.14176,4.1272,5e-05,4.1272,5e-05,8.47303,0.00023,90.0,90.0,120.0,0.60671,0.82105,0.09699,82.36051,1.04932,0.54459,1.16295,Ser,1.0,578635-mythen_summed_a_phase_out.txt,578635-mythen_summed_b_phase_out.txt,578635-mythen_summed_amor_phase_out.txt,578635-mythen_summed_ycalc.txt,578635-mythen_summed_yobs.txt,Both,-0.8568616892956101,-1.5755322754172179,-0.771099569459715,0.00229948855877614,-0.5330999909177366,0.029959757262042485,-0.5925098103234305,0.5851028247963042,-0.8113050094168407,-1.1440437125900584,-0.2870222728032937,-0.29203951655839583,0.524956277830037,0.47856436320793694,0.13106785350301947,-0.1596292370205579,-2.2547602667881375,-1.2753440582203504,0.15962923702055806,2.254760266788138,1.2753440582203501
578636-mythen_summed.xye,6.71509,8.38906,0.89541,56.56735,4.99094,9e-05,4.99094,9e-05,17.06597,0.00041,90.0,90.0,120.0,0.0001,0.11326,0.0007,5.90379,1.36576,0.00083,0.80883,4.12703,7e-05,4.12703,7e-05,8.47538,0.0003,90.0,90.0,120.0,0.53412,1.17412,0.09919,94.09621,0.40557,3e-05,0.35868,Ser,1.25,578636-mythen_summed_a_phase_out.txt,578636-mythen_summed_b_phase_out.txt,578636-mythen_summed_amor_phase_out.txt,578636-mythen_summed_ycalc.txt,578636-mythen_summed_yobs.txt,Both,-0.3750355715287828,-1.0385494543904439,-0.4357871305119115,-1.1314483486147486,-2.7469747090610377,-2.07231968607579,-0.18045056621293892,1.864724955481777,-0.31584866296169073,-1.3365349384252543,-0.43218612862606104,-0.4338459387636704,1.695317339962574,1.4249111020697998,0.8324882806514113,-0.7146369902965509,-2.7099584406138617,-1.6538410166671609,0.7146369902965509,2.709958440613862,1.6538410166671607
